Chief Executive Officer;1963-03-02;Ken;Sánchez
Vice President of Engineering;1965-09-01;Terri;Duffy
Engineering Manager;1968-12-13;Roberto;Tamburello
Senior Tool Designer;1969-01-23;Rob;Walters
Design Engineer;1946-10-29;Gail;Erickson
Design Engineer;1953-04-11;Jossef;Goldberg
Research and Development Manager;1981-03-27;Dylan;Miller
Research and Development Engineer;1980-07-06;Diane;Margheim
Research and Development Engineer;1973-02-21;Gigi;Matthew
Research and Development Manager;1979-01-01;Michael;Raheem
Senior Tool Designer;1972-02-18;Ovidiu;Cracium
Tool Designer;1953-08-29;Thierry;D'Hers
Tool Designer;1983-06-29;Janice;Galvin
Senior Design Engineer;1973-07-17;Michael;Sullivan
Design Engineer;1955-06-03;Sharon;Salavaria
Marketing Manager;1969-04-19;David;Bradley
Marketing Assistant;1981-06-03;Kevin;Brown
Marketing Specialist;1972-04-06;John;Wood
Marketing Assistant;1972-03-01;Mary;Dempsey
Marketing Assistant;1969-04-17;Wanida;Benshoof
Marketing Specialist;1980-03-07;Terry;Eminhizer
Marketing Specialist;1981-06-21;Sariya;Harnpadoungsataya
Marketing Specialist;1956-10-14;Mary;Gibson
Marketing Specialist;1973-07-19;Jill;Williams
Vice President of Production;1977-02-07;James;Hamilton
Production Control Manager;1976-12-04;Peter;Krebs
Production Supervisor - WC60;1950-11-09;Jo;Brown
Production Technician - WC60;1976-05-15;Guy;Gilbert
Production Technician - WC60;1973-10-26;Mark;McArthur
Production Technician - WC60;1983-10-30;Britta;Simon
Production Technician - WC60;1980-06-20;Margie;Shoop
Production Technician - WC60;1971-08-11;Rebecca;Laszlo
Production Technician - WC60;1971-01-27;Annik;Stahl
Production Technician - WC60;1981-07-11;Suchitra;Mohan
Production Technician - WC60;1971-02-11;Brandon;Heidepriem
Production Technician - WC60;1978-09-01;Jose;Lugo
Production Technician - WC60;1980-09-07;Chris;Okelberry
Production Technician - WC60;1961-01-14;Kim;Abercrombie
Production Technician - WC60;1965-10-12;Ed;Dudenhoefer
Production Supervisor - WC60;1950-02-16;JoLynn;Dobney
Production Technician - WC60;1967-09-28;Bryan;Baker
Production Technician - WC60;1978-08-26;James;Kramer
Production Technician - WC60;1982-12-21;Nancy;Anderson
Production Technician - WC60;1984-06-17;Simon;Rapier
Production Technician - WC60;1980-02-11;Thomas;Michaels
Production Technician - WC60;1970-03-13;Eugene;Kogan
Production Supervisor - WC10;1982-10-08;Andrew;Hill
Production Technician - WC10;1950-07-06;Ruth;Ellerbrock
Production Technician - WC10;1950-04-27;Barry;Johnson
Production Technician - WC10;1950-10-01;Sidney;Higa
Production Technician - WC10;1950-08-12;Jeffrey;Ford
Production Technician - WC10;1950-05-06;Doris;Hartwig
Production Technician - WC10;1950-04-30;Diane;Glimp
Production Technician - WC10;1980-10-11;Bonnie;Kearney
Production Supervisor - WC50;1950-05-03;Taylor;Maxwell
Production Technician - WC50;1982-08-07;Denise;Smith
Production Technician - WC50;1965-08-24;Frank;Miller
Production Technician - WC50;1980-06-30;Kendall;Keil
Production Technician - WC50;1973-09-16;Bob;Hohman
Production Technician - WC50;1971-03-07;Pete;Male
Production Technician - WC50;1983-09-10;Diane;Tibbott
Production Supervisor - WC60;1950-09-08;John;Campbell
Production Technician - WC60;1949-03-02;Maciej;Dusza
Production Technician - WC60;1967-10-07;Michael;Zwilling
Production Technician - WC60;1964-05-29;Randy;Reeves
Production Technician - WC60;1964-04-07;Karan;Khanna
Production Technician - WC60;1970-03-14;Jay;Adams
Production Technician - WC60;1965-10-03;Charles;Fitzgerald
Production Technician - WC60;1985-05-07;Steve;Masters
Production Technician - WC60;1979-01-30;David;Ortiz
Production Supervisor - WC30;1983-03-02;Michael;Ray
Production Technician - WC30;1971-06-15;Steven;Selikoff
Production Technician - WC30;1977-11-19;Carole;Poland
Production Technician - WC30;1983-12-08;Bjorn;Rettig
Production Technician - WC30;1976-07-28;Michiko;Osada
Production Technician - WC30;1982-11-18;Carol;Philips
Production Technician - WC30;1977-06-13;Merav;Netz
Production Supervisor - WC40;1981-09-27;Reuben;D'sa
Production Technician - WC40;1961-01-08;Eric;Brown
Production Technician - WC40;1965-01-03;Sandeep;Kaliyath
Production Technician - WC40;1965-04-09;Mihail;Frintu
Production Technician - WC40;1967-09-30;Jack;Creasey
Production Technician - WC40;1968-01-24;Patrick;Cook
Production Technician - WC40;1946-04-03;Frank;Martinez
Production Technician - WC40;1965-01-23;Brian;Goldstein
Production Technician - WC40;1966-07-15;Ryan;Cornelsen
Production Supervisor - WC10;1978-05-13;Cristian;Petculescu
Production Technician - WC10;1961-01-17;Betsy;Stadick
Production Technician - WC10;1980-10-11;Patrick;Wedge
Production Technician - WC10;1980-10-08;Danielle;Tiedt
Production Technician - WC10;1980-10-14;Kimberly;Zimmerman
Production Technician - WC10;1980-11-01;Tom;Vande Velde
Production Supervisor - WC50;1974-05-30;Kok-Ho;Loh
Production Technician - WC50;1966-12-27;Russell;Hunter
Production Technician - WC50;1980-10-09;Jim;Scardelis
Production Technician - WC50;1984-02-26;Elizabeth;Keyser
Production Technician - WC50;1980-04-21;Mandar;Samant
Production Technician - WC50;1972-07-27;Sameer;Tejani
Production Technician - WC50;1973-04-29;Nuan;Yu
Production Technician - WC50;1967-02-25;Lolan;Song
Production Technician - WC50;1965-09-30;Houman;Pournasseh
Production Supervisor - WC10;1977-11-26;Zheng;Mu
Production Technician - WC10;1980-10-23;Ebru;Ersan
Production Technician - WC10;1980-10-20;Mary;Baker
Production Technician - WC10;1980-10-20;Kevin;Homer
Production Technician - WC10;1980-10-29;John;Kane
Production Technician - WC10;1980-11-01;Christopher;Hill
Production Supervisor - WC50;1983-03-09;Jinghao;Liu
Production Technician - WC50;1972-02-27;Alice;Ciccu
Production Technician - WC50;1973-08-06;Jun;Cao
Production Technician - WC50;1972-03-28;Suroor;Fatima
Production Technician - WC50;1972-07-01;John;Evans
Production Technician - WC50;1981-08-17;Linda;Moschell
Production Technician - WC50;1972-06-07;Mindaugas;Krapauskas
Production Technician - WC50;1985-07-01;Angela;Barbariol
Production Technician - WC50;1968-06-03;Michael;Patten
Production Technician - WC50;1984-09-04;Chad;Niswonger
Production Technician - WC50;1965-07-14;Don;Hall
Production Technician - WC50;1983-07-17;Michael;Entin
Production Technician - WC50;1981-07-07;Kitti;Lertpiriyasuwat
Shipping and Receiving Supervisor;1966-10-11;Pilar;Ackerman
Stocker;1972-03-20;Susan;Eaton
Shipping and Receiving Clerk;1971-04-19;Vamsi;Kuppa
Stocker;1978-06-01;Kim;Ralls
Shipping and Receiving Clerk;1967-12-13;Matthias;Berndt
Stocker;1979-06-05;Jimmy;Bischoff
Production Supervisor - WC40;1977-08-02;David;Hamilton
Production Technician - WC40;1974-12-15;Paul;Komosinski
Production Technician - WC40;1982-06-17;Gary;Yukish
Production Technician - WC40;1967-09-05;Rob;Caron
Production Technician - WC40;1984-11-07;Baris;Cetinok
Production Technician - WC40;1980-05-10;Nicole;Holliday
Production Technician - WC40;1985-02-04;Michael;Rothkugel
Production Supervisor - WC20;1979-02-20;Eric;Gubbels
Production Technician - WC20;1976-02-04;Ivo;Salmre
Production Technician - WC20;1964-12-13;Sylvester;Valdez
Production Technician - WC20;1968-10-06;Anibal;Sousa
Production Technician - WC20;1981-12-23;Samantha;Smith
Production Technician - WC20;1965-11-23;Hung-Fu;Ting
Production Technician - WC20;1947-06-01;Prasanna;Samarawickrama
Production Technician - WC20;1968-10-11;Min;Su
Production Technician - WC20;1964-05-05;Olinda;Turner
Production Technician - WC20;1965-10-06;Krishna;Sunkammurali
Production Technician - WC20;1984-12-05;Paul;Singh
Production Supervisor - WC30;1975-09-19;Cynthia;Randall
Production Technician - WC30;1977-08-27;Jian Shuo;Wang
Production Technician - WC30;1969-12-06;Sandra;Reátegui Alayo
Production Technician - WC30;1983-01-08;Jason;Watters
Production Technician - WC30;1977-11-20;Andy;Ruth
Production Technician - WC30;1976-10-19;Michael;Vanderhyde
Production Technician - WC30;1971-10-15;Rostislav;Shabalin
Production Supervisor - WC20;1971-05-08;Yuhong;Li
Production Technician - WC20;1968-11-16;Hanying;Feng
Production Technician - WC20;1961-04-02;Raymond;Sam
Production Technician - WC20;1983-03-19;Fadi;Fakhouri
Production Technician - WC20;1968-10-24;Lane;Sacksteder
Production Technician - WC20;1971-11-06;Linda;Randall
Production Technician - WC20;1981-01-08;Shelley;Dyck
Production Technician - WC20;1979-01-09;Terrence;Earls
Production Supervisor - WC45;1971-02-16;Jeff;Hay
